GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047009200,36047009200,92,1165,27.5,734,36.2
1400000US36047009400,36047009400,94,1195,32.4,743,48.9
1400000US36047009600,36047009600,96,1410,18.4,824,26.9
1400000US36047009800,36047009800,98,1511,40.6,1049,48.3
1400000US36047010000,36047010000,100,1455,35.9,834,46.8
1400000US36047010100,36047010100,101,918,18.5,558,28.9
1400000US36047010200,36047010200,102,1121,19.1,559,27
1400000US36047010400,36047010400,104,1215,32.3,701,34.7
1400000US36047010600,36047010600,106,1324,40,694,49.7
1400000US36047010800,36047010800,108,1078,41.6,697,56.2
1400000US36047011000,36047011000,110,498,21.7,247,33.2
1400000US36047011200,36047011200,112,1408,31.3,837,39.4
1400000US36047011400,36047011400,114,782,33.1,471,43.3
1400000US36047011600,36047011600,116,924,23.4,552,27.2
1400000US36047011700,36047011700,117,546,18.1,151,7.9
1400000US36047011800,36047011800,118,626,24.9,408,36.8
1400000US36047011900,36047011900,119,382,3.1,183,6.6
1400000US36047012000,36047012000,120,260,51.9,130,58.5
1400000US36047012100,36047012100,121,425,4.2,157,0
1400000US36047012200,36047012200,122,1000,32.6,594,45.5
1400000US36047012600,36047012600,126,696,39.5,427,43.8
1400000US36047012700,36047012700,127,808,19.1,473,26.6
1400000US36047012801,36047012801,128.01,506,18.8,231,34.6
1400000US36047012901,36047012901,129.01,420,11.7,192,25.5
1400000US36047012902,36047012902,129.02,417,13.2,184,18.5
1400000US36047013000,36047013000,130,998,16.9,638,22.7
1400000US36047013100,36047013100,131,939,7.7,435,14.7
1400000US36047013200,36047013200,132,492,12.6,288,16.7
1400000US36047013300,36047013300,133,1220,5.1,653,6.6
1400000US36047013400,36047013400,134,967,10,516,15.7
1400000US36047013500,36047013500,135,737,0.9,440,1.6
1400000US36047013600,36047013600,136,862,12.6,419,16.2
1400000US36047013700,36047013700,137,654,6.7,335,13.1
1400000US36047013800,36047013800,138,902,20.2,426,25.4
1400000US36047013900,36047013900,139,758,5.4,358,7.8
1400000US36047014000,36047014000,140,438,5.9,197,11.7
1400000US36047014100,36047014100,141,972,0,559,0
